id,title,genre,plot,imdbRating,Year,Country,Language
2380,Police Academy 3: Back in Training (1986),Comedy,The alumni of Commandant Lassard's Police Academy (1984) return to the school to train new recruits and prevent its closure.,5.2,1986,USA,English
2381,Police Academy 4: Citizens on Patrol (1987),Comedy,The misfit Police Academy (1984) graduates now are assigned to train a group of civilian volunteers to fight crime once again plaguing the streets.,4.8,1987,USA,English
2382,Police Academy 5: Assignment: Miami Beach (1988),Comedy,"The old Commandant Lassard, leader of the Police Academy (1984), goes to Florida to receive an award. In the city arrives also the cynic Captain Harris who wants to take Lassard's job. ...",4.4,1988,USA,English
2383,Police Academy 6: City Under Siege (1989),Comedy,Those bumbling cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.,4.1,1989,USA,English
2384,Babe: Pig in the City (1998),Children's|Comedy,"Babe, fresh from his victory in the sheepherding contest, returns to Farmer Hoggett's farm, but after Farmer Hoggett is injured and unable to work, Babe has to go to the big city to save the farm.",5.8,1998,Australia,English
2385,Home Fries (1998),Comedy|Romance,Pregnant Sally unknowingly falls for the stepson of the deceased father of her baby and has to deal with his homicidal family.,5.0,1998,USA,English
2386,Jerry Springer: Ringmaster (1998),Drama,N/A,4.4,1998,USA,English
2387,Very Bad Things (1998),Comedy|Crime,A prostitute is killed during a bachelor party and the attendees turn on each other as the wedding approaches.,6.3,1998,USA,English
2388,Steam: The Turkish Bath (Hamam) (1997),Drama|Romance,"Francesco and Marta are husband and wife running a small design company in Rome. When Francesco's long forgotten Aunt Anita dies in Istanbul, he travels there to look after the sale of the ...",7.0,1997,"Italy, Turkey, Spain","Turkish, Italian"
2389,Psycho (1998),Crime|Horror|Thriller,"A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.",4.6,1998,USA,English
2390,Little Voice (1998),Comedy,"A shy reclusive lady is convinced by an invisible entity to sing. Subsequently, she finds herself noticed by a sleazy talent agent and her talent being showcased on-stage. She also meets a kind but nervous man who becomes her best friend.",7.0,1998,UK,English
2391,"Simple Plan, A (1998)",Crime|Thriller,When three blue collar acquaintances come across millions of dollars in lost cash they make a plan to keep their find from the authorities but find complications and mistrust weaving its way into their plan.,7.5,1998,"UK, Germany, France, USA, Japan",English
2392,Jack Frost (1998),Comedy|Drama,"A father, who can't keep his promises, dies in a car accident. One year later, he returns as a snowman, who has the final chance to put things right with his son before he is gone forever.",5.3,1998,USA,English
2393,Star Trek: Insurrection (1998),Action|Sci-Fi,"When the crew of the Enterprise learn of a Federation conspiracy against the inhabitants of a unique planet, Captain Picard begins an open rebellion.",6.4,1998,USA,English
2394,"Prince of Egypt, The (1998)",Animation|Musical,An Egyptian prince learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,7.0,1998,USA,"English, Hebrew"
2395,Rushmore (1998),Comedy,The extracurricular king of Rushmore preparatory school is put on academic probation.,7.7,1998,USA,"English, Spanish, Latin, French"
2396,Shakespeare in Love (1998),Comedy|Romance,"A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays.",7.2,1998,"USA, UK",English
2397,Mass Appeal (1984),Drama,A popular Connecticut priest shields a seminary rebel from the wrath of a stern monsignor.,6.6,1984,USA,English
2398,Miracle on 34th Street (1947),Drama,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",7.9,1947,USA,"English, Dutch"
2399,Santa Claus: The Movie (1985),Adventure|Children's|Fantasy,A peasant woodcutter becomes Santa Claus and later foils an evil toy manufacturer's scheme to take over Christmas.,6.1,1985,"UK, USA",English
2400,Prancer (1989),Children's|Drama,"A farm girl nurses a wounded reindeer she believes is one of Santa's, hoping to bring it back to health in time for Christmas. Her holiday spirit inspires those around her, something her disheartened father is having trouble understanding.",6.3,1989,"USA, Canada",English
2401,Pale Rider (1985),Western,A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.,7.3,1985,USA,English
2402,Rambo: First Blood Part II (1985),Action|War,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,6.4,1985,USA,"English, Vietnamese"
2403,First Blood (1982),Action,"Former Green Beret John Rambo is pursued into the mountains surrounding a small town by a tyrannical sheriff and his deputies, forcing him to survive using his combat skills.",7.7,1982,USA,English
2404,Rambo III (1988),Action|War,Colonel Trautman is captured by Soviets during a mission in Afghanistan and Rambo sets out to rescue him while taking on the invading Russian forces.,5.7,1988,USA,"English, Russian"
2405,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,"This is the sequel to ""Romancing the Stone"" where Jack and Joan have their yacht and easy life, but are gradually getting bored with each other and this way of life. Joan accepts an ...",6.1,1985,USA,"English, Arabic"
2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,"A romance writer sets off to Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure.",6.9,1984,"USA, Mexico","English, Spanish, French"
2407,Cocoon (1985),Comedy|Sci-Fi,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigour.",6.7,1985,USA,English
2408,Cocoon: The Return (1988),Comedy|Sci-Fi,"The old age pensioners that left at the end of the first film come back to earth to visit their relatives. Will they all decide to go back to the planet where no-one grows old, or will they be tempted to stay back on earth?",5.3,1988,USA,English
2409,Rocky II (1979),Action|Drama,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch.",7.2,1979,USA,"English, Italian"
2410,Rocky III (1982),Action|Drama,"After winning the ultimate title and being the world champion, Rocky falls into a hole and finds himself picked up by a former enemy.",6.7,1982,USA,English
2411,Rocky IV (1985),Action|Drama,"After iron man Drago, a highly intimidating 6-foot-5, 261-pound Soviet athlete, kills Apollo Creed in an exhibition match, Rocky comes to the heart of Russia for 15 pile-driving boxing rounds of revenge.",6.8,1985,USA,"English, Russian"
2412,Rocky V (1990),Action|Drama,"Reluctantly retired from boxing, and back from riches to rags, Rocky takes on a new protege who betrays him, as the champ's son must adjust to his family's new life after bankruptcy.",5.2,1990,USA,"English, Italian"
2413,Clue (1985),Comedy|Mystery,Six guests are invited to a strange house and must cooperate with the staff to solve a murder mystery.,7.3,1985,USA,"English, French"
2414,Young Sherlock Holmes (1985),Action|Adventure|Mystery,"When assorted people start having inexplicable delusions that lead to their deaths, a teenage Sherlock Holmes decides to investigate.",6.8,1985,USA,English
2415,Violets Are Blue... (1986),Drama|Romance,"Young love may endure in your heart and one day re-ignite, but reality may soon dowse the flames.",5.7,1986,USA,English
2416,Back to School (1986),Comedy,"To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",6.6,1986,USA,English
2417,Heartburn (1986),Comedy|Drama,"An autobiographical look at the breakup of Ephron's marriage to Carl ""All the President's Men"" Bernstein that was also a best-selling novel. The Ephron character, Rachel is a food writer at...",6.0,1986,USA,English
2418,Nothing in Common (1986),Comedy,A highly successful TV executive decides to put his job on hold after getting an update from his father that he and his wife are divorced and decides to extend his break after revealing that his father is a diabetic.,5.9,1986,USA,English
2419,Extremities (1986),Drama|Thriller,A woman takes revenge on the man who invades her home and tries to rape her.,6.3,1986,USA,English
2420,"Karate Kid, The (1984)",Drama,A martial arts master agrees to teach karate to a bullied teenager.,7.2,1984,USA,"English, Japanese"
2421,"Karate Kid, Part II, The (1986)",Action|Adventure|Drama,"Daniel accompanies his mentor to Okinawa who is off to see his dying father and confront his old rival, while Daniel inadvertently makes an enemy of his own.",5.9,1986,USA,English
2422,"Karate Kid III, The (1989)",Action|Adventure|Drama,,,,,
2423,Christmas Vacation (1989),Comedy,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,7.6,1989,USA,English
2424,You've Got Mail (1998),Comedy|Romance,Two business rivals who despise each other in real life unwittingly fall in love over the Internet.,6.6,1998,USA,English
2425,"General, The (1998)",Crime,"The real-life story of Dublin folk hero and criminal Martin Cahill, who pulled off two daring robberies in Ireland with his team, but attracted unwanted attention from the police, the IRA, the UVF and members of his own team.",7.3,1998,"UK, Ireland",English
2426,"Theory of Flight, The (1998)",Comedy|Drama|Romance,"A dreamer who aspires to human flight is assigned public service after one of his attempts off a public building. This leads him to meeting a young woman, who is dying of motor neuron ...",6.8,1998,UK,English
2427,"Thin Red Line, The (1998)",Action|Drama|War,"Terrence Malick's adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",7.6,1998,USA,"English, Tok Pisin, Japanese, Greek"
2428,"Faculty, The (1998)",Horror|Sci-Fi,Students suspect that their teachers are aliens after bizarre occurrences.,6.4,1998,USA,English
2429,Mighty Joe Young (1998),Adventure|Children's|Drama,A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by a zoologist and a young woman whom he grew up with. A poacher from the past returns to seek vengeance on him.,5.6,1998,USA,"English, Swahili"
2430,Mighty Joe Young (1949),Adventure|Children's|Drama,A young woman who has raised a giant gorilla from an infant brings him to Hollywood years later seeking her fortune in order to save her family's ranch.,7.0,1949,USA,"English, Swahili"
2431,Patch Adams (1998),Comedy|Drama,"The true story of a heroic man, Hunter Patch Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",6.7,1998,USA,English
2432,Stepmom (1998),Drama,"A terminally ill woman has to settle on her former husband's new lover, who will be their children's stepmother.",6.7,1998,USA,English
2433,"Civil Action, A (1998)",Drama,"The families of children who died sue two companies for dumping toxic waste: a tort so expensive to prove, the case could bankrupt their lawyers.",6.5,1998,USA,English
2434,Down in the Delta (1998),Drama,Rosa Lynn sends her druggie daughter Loretta and her children Thomas and Tracy away from the big city to live with their uncle Earl in the ancestral home in rural Mississippi. Earl puts ...,6.9,1998,USA,English
2435,Hurlyburly (1998),Drama,Hollywood movers and shakers dissect their own personal lives when everything seems to clash together.,5.8,1998,USA,English
2436,Tea with Mussolini (1999),Comedy,An orphaned Italian boy is raised among a circle of British and American women living in Mussolini's Italy before and during the Second World War.,6.9,1999,"Italy, UK","English, Italian"
2437,Wilde (1997),Drama,"The story of Oscar Wilde, genius, poet, playwright and the First Modern Man. The self-realization of his homosexuality caused Wilde enormous torment as he juggled marriage, fatherhood and ...",6.9,1997,"UK, Germany, Japan",English
2438,Outside Ozona (1998),Drama|Thriller,A drama revolving around a group of strangers brought together by a common occurrence as well as listening to the same radio station.,6.4,1998,USA,English
2439,Affliction (1997),Drama,A deeply troubled small town cop investigates a suspicious hunting death while events occur that cause him to mentally disintergrate.,7.0,1997,"USA, Canada",English
2440,Another Day in Paradise (1998),Drama,"In the hope of a big score, two junkie couples team up to commit various drug robberies which go disastrously wrong leading to dissent, violence and murder.",6.5,1998,USA,English
2441,"Hi-Lo Country, The (1998)",Drama|Western,"An intimate story of the enduring bond of friendship between two hard-living men, set against a sweeping backdrop: the American West, post-World War II, in its twilight. Pete and Big Boy ...",6.1,1998,"UK, Germany, USA",English
2442,Hilary and Jackie (1998),Drama,"The tragic story of world renowned classic cellist Jacqueline du Pré, as told from the point of view of her sister, flautist Hilary du Pré-Finzi.",7.4,1998,UK,English
2443,Playing by Heart (1998),Drama|Romance,Eleven articulate people work through affairs of the heart in L.A.,7.2,1998,"UK, USA","English, German"
2444,24 7: Twenty Four Seven (1997),Comedy|Drama,"In a typical English working-class town, the juveniles have nothing more to do than hang around in gangs. One day, Alan Darcy, a highly motivated man with the same kind of youth experience,...",7.1,1997,UK,English
2445,At First Sight (1999),Drama,A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.,5.9,1999,USA,English
2446,In Dreams (1999),Thriller,"The housewife Claire Cooper is married with the pilot Paul Cooper and their little daughter Rebecca is their pride and joy. When a stranger kidnaps a girl, Claire dreams about the man but ...",5.5,1999,USA,English
2447,Varsity Blues (1999),Comedy|Drama,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,6.4,1999,USA,English
2448,Virus (1999),Horror|Sci-Fi,"When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",4.9,1999,"USA, UK, Germany, Japan, France","English, Russian"
2449,"Garbage Pail Kids Movie, The (1987)",Adventure|Children's,Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.,2.7,1987,USA,English
2450,Howard the Duck (1986),Adventure|Children's|Sci-Fi,A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invader.,4.6,1986,USA,English
2451,"Gate, The (1987)",Horror,"Two young boys accidentally release a horde of nasty, pint-sized demons from a hole in a suburban backyard. What follows is a classic battle between good and evil as the two kids struggle ...",6.0,1987,"Canada, USA",English
2452,"Gate II: Trespassers, The (1990)",Horror,,,,,
2453,"Boy Who Could Fly, The (1986)",Drama|Fantasy,"An autistic boy who dreams of flying touches everyone he meets, including a new family who has moved in after their father dies.",6.4,1986,USA,English
2454,"Fly, The (1958)",Horror|Sci-Fi,A scientist has a horrific accident when he tries to use his newly invented teleportation device.,7.1,1958,USA,"English, French"
2455,"Fly, The (1986)",Horror|Sci-Fi,A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.,7.5,1986,"USA, UK, Canada",English
2456,"Fly II, The (1989)",Horror|Sci-Fi,"The almost-human son of ""Brundlefly"" searches for a cure to his mutated genes while being monitored by a nefarious corporation that wishes to continue his father's experiments.",4.9,1989,"USA, Canada",English
2457,Running Scared (1986),Action|Comedy,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.,6.5,1986,USA,English
2458,Armed and Dangerous (1986),Comedy|Crime,A fired cop and useless lawyer sign up as security guards and find they've joined a corrupt union.,5.5,1986,USA,English
2459,"Texas Chainsaw Massacre, The (1974)",Horror,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding killer and his family of equally psychopathic killers.",6.2,2003,USA,English
2460,"Texas Chainsaw Massacre 2, The (1986)",Horror,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,5.5,1986,USA,English
2461,Leatherface: Texas Chainsaw Massacre III (1990),Horror,A California couple and a survivalist encounter Leatherface and his family.,5.1,1990,USA,English
2462,"Return of the Texas Chainsaw Massacre, The (1994)",Horror,N/A,8.2,1996,USA,English
2463,Ruthless People (1986),Comedy,"A couple, cheated by a vile businessman, kidnap his wife in retaliation, without knowing that their enemy is delighted they did.",6.9,1986,USA,English
2464,Trick or Treat (1986),Horror,"Sammi Curr was a famous, devil-worshiping rock star who died under mysterious circumstances. Now he wants to come back to life. Doing so requires possessing radio wave & automobiles and making a few human sacrifices.",5.7,1986,USA,English
2465,Deadly Friend (1986),Horror,"After his friend is killed by her abusive father, the new kid in town attempts to save her by implanting robotic microchips into her brain.",5.5,1986,USA,English
2466,Belizaire the Cajun (1986),Drama,A Cajun man attempts to save his town.,6.5,1986,USA,English
2467,"Name of the Rose, The (1986)",Mystery,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,7.8,1986,"Italy, West Germany, France","English, Latin"
2468,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,"Terry works for a bank, and uses computers to communicate with clients all over the world. One day she gets a coded message from an unknown source. After decoding the message, Terry becomes...",5.8,1986,USA,English
2469,Peggy Sue Got Married (1986),Comedy|Romance,"Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.",6.3,1986,USA,English
2470,Crocodile Dundee (1986),Adventure|Comedy,An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.,6.5,1986,Australia,English
2471,Crocodile Dundee II (1988),Adventure|Comedy,Australian outback expert protects his New York love from gangsters who've followed her down under.,5.5,1988,"Australia, USA","English, Spanish, Japanese"
2472,Tough Guys (1986),Comedy,Two elderly gangsters are released from prison only to find they have trouble fitting in as old men who still take no guff from anyone.,6.2,1986,USA,English
2473,Soul Man (1986),Comedy,"To achieve his dream of attending Harvard, a pampered teen poses as a young black man to receive a full scholarship.",5.1,1986,USA,English
2474,"Color of Money, The (1986)",Drama,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",7.0,1986,USA,"English, Spanish"
2475,52 Pick-Up (1986),Action|Mystery|Thriller,A secret fling between a man and his mistress leads to blackmail and murder.,6.4,1986,USA,English
2476,Heartbreak Ridge (1986),Action|War,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",6.8,1986,USA,"English, Spanish"
2477,Firewalker (1986),Adventure,A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache hoard of gold.,4.9,1986,USA,"English, Hungarian"
2478,Three Amigos! (1986),Comedy|Western,"Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing.",6.4,1986,USA,"English, Spanish, German"
2479,Gloria (1999),Drama|Thriller,"A street-wise, middle-aged moll named Gloria stands up against the mobs, which is complicated by a six-year-old urchin with a will of his own who she reluctantly takes under her wing after ...",5.1,1999,USA,English
2480,Dry Cleaning (Nettoyage � sec) (1997),Drama,A bored couple takes in a young man who turns their lives inside out,6.9,1997,"France, Spain","French, English, Russian"
2481,My Name Is Joe (1998),Drama|Romance,"Two thirtysomethings, unemployed former alcoholic Joe and community health worker Sarah, start a romantic relationship in the one of the toughest Glasgow neighbourhoods.",7.5,1998,"UK, Germany, France, Spain",English
2482,Still Crazy (1998),Comedy|Romance,"""Strange Fruit"" had everything that makes a legendary rockband: Money, Fame, Success, Groupies, a Singer who died of drugs and even a divine ending, when lightning struck the stage during ...",7.1,1998,UK,English
2483,"Day of the Beast, The (El D�a de la bestia) (1995)",Comedy|Horror|Thriller,"A Catholic priest teams up with a Black Metal fan and an Italian connoisseur of the occult, to prevent the birth of the beast and the end of the world.",7.5,1995,Spain,"Spanish, Italian"
2484,Tinseltown (1998),Comedy,"In Hollywood it's all about who you know, and the only person two friends know is a serial killer.",4.7,1997,USA,English
2485,She's All That (1999),Comedy|Romance,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.,5.8,1999,USA,English
2486,24-hour Woman (1998),Drama,Grace tries to be the perfect mother and TV producer but finds trouble in juggling both.,5.8,1999,USA,English
2487,"Blood, Guts, Bullets and Octane (1998)",Action|Comedy,Kasaki the hitman needs to set scores with his target Ri after the syndicate hunts him and blackmails his childhood friend to kill him.,6.4,1998,Japan,Japanese
2488,Peeping Tom (1960),Drama|Horror|Thriller,"A young man murders women, using a movie camera to film their dying expressions of terror.",7.7,1960,UK,English
2489,Spanish Fly (1998),Drama,A woman reporter in over her head in trying to write a book on the male machismo in Spain finds the men don't match her story's expectations. She also finds herself involved in relationships with the wrong men.,4.7,1998,"Spain, UK, France",English
2490,Payback (1999),Action|Thriller,Porter is shot by his wife and best friend and is left to die. When he survives he plots revenge.,7.1,1999,USA,English
2491,Simply Irresistible (1999),Comedy|Romance,"A magical crab works wonders for a terrible chef's culinary skills, leading her towards the man of her dreams.",5.3,1999,"Germany, USA","English, French"
2492,20 Dates (1998),Comedy,A documentary type film about the dates Myles has gone on as he tries to find out how to find love in the future.,5.3,1998,USA,English
2493,"Harmonists, The (1997)",Drama,"Comedian Harmonists tells the story of a famous, German male sextet, five vocals and piano, the ""Comedian Harmonists"", from the day they meet first in 1927 to the day in 1934, when they ...",7.2,1997,"Germany, Austria","German, English"
2494,"Last Days, The (1998)",Documentary,"Story of two female Manhattan book editors fresh out of college, both finding love and themselves while frequenting the local disco.",6.6,1998,USA,English
2495,"Fantastic Planet, The (La Plan�te sauvage) (1973)",Animation|Sci-Fi,"This futuristic story takes place on a faraway planet where blue giants rule, and oppressed humanoids rebel against the machine-like leaders.",7.8,1973,"France, Czechoslovakia",French
2496,Blast from the Past (1999),Comedy|Romance,A romantic comedy about a naive man who comes out into the world after being in a nuclear fallout shelter for 35 years.,6.6,1999,USA,"English, French, German, Latin"
2497,Message in a Bottle (1999),Romance,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",6.1,1999,USA,English
2498,My Favorite Martian (1999),Comedy|Sci-Fi,A martian lands on Earth and makes friends with a reporter.,4.9,1999,USA,English
2499,God Said 'Ha!' (1998),Comedy,Julia Sweeney tells the viewers the monologue about the hard time in her life when her brother fought with cancer and she was also diagnosed with a rare form of cancer.,7.2,1998,USA,English
2500,Jawbreaker (1999),Comedy,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,5.5,1999,USA,English
2501,October Sky (1999),Drama,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",7.8,1999,USA,English
2502,Office Space (1999),Comedy|Romance,Three company workers who hate their jobs decide to rebel against their greedy boss.,7.8,1999,USA,English
2503,"Apple, The (Sib) (1998)",Drama,"After twelve years of imprisonment by their own parents, two sisters are finally released by social workers to face the outside world for the first time.",7.3,1998,"Iran, France",Persian
2504,200 Cigarettes (1999),Comedy|Drama,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",5.9,1999,USA,English
2505,8MM (1999),Thriller,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.",6.5,1999,"Germany, USA",English
2506,"Other Sister, The (1999)",Comedy|Drama|Romance,A mentally challenged young woman seeks independence by obtaining her own apartment and attending college while her family plans her sister's wedding.,6.5,1999,USA,English
2507,Breakfast of Champions (1999),Comedy,A portrait of a fictional town in the mid west that is home to a group of idiosyncratic and slightly neurotic characters. Dwayne Hoover is a wealthy car dealer-ship owner that's on the ...,4.6,1999,USA,English
2508,"Breaks, The (1999)",Drama,"A Sunday in the life of Derrick King, an Irish kid raised in South Central L.A. by a Black family. He talks Black, dresses Black, and thinks of himself as Black. It's a day of disasters: ...",6.2,1999,USA,English
2509,Eight Days a Week (1997),Comedy,"Peter loves his next door neighbour Erica and, on the advice of his grandfather, decides to camp out on her front lawn for the entire summer, or until she agrees to go out with him. His ...",6.3,1997,USA,English
2510,Just the Ticket (1999),Comedy|Romance,A ticket scalper wants to make one last big deal on the pope's visit to finally do something worthwhile about his relationship.,5.6,1999,"France, USA",English
2511,"Long Goodbye, The (1973)",Crime,Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.,7.7,1973,USA,English
2512,"Ballad of Narayama, The (Narayama Bushiko) (1982)",Drama,"In a poor 19th century rural Japanese village, everyone who reaches the age of 70 has to climb a nearby mountain to die. An old woman is getting close to the cut-off age, and we follow her last days with her family.",7.9,1983,Japan,Japanese
2513,Pet Sematary (1989),Horror,"Behind a young family's home in Maine is a terrible secret that holds the power of life after death. When tragedy strikes, the threat of that power soon becomes undeniable.",6.6,1989,USA,English
2514,Pet Sematary II (1992),Horror,The ancient Indian cemetery with the power to raise the dead returns and influences the lives of new residents.,4.8,1992,USA,English
2515,Children of the Corn II: The Final Sacrifice (1993),Horror,"A journalist and his son travel to Nebraska to investigate the mysterious town of Gaitlin where, unbeknownst to them, a murderous cult of children are waiting in the corn fields.",4.2,1992,USA,English
2516,Children of the Corn III (1994),Horror,"Two brothers, formerly of the murderous children's cult of Gatlin Nebraska, are taken to Chicago by an unwitting couple.",4.0,1995,USA,English
2517,Christine (1983),Horror,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,6.6,1983,USA,English
2518,Night Shift (1982),Comedy,"A morgue attendant is talked into running a brothel at his workplace after a deceased pimp is sent there. However, the pimp's killers don't look too kindly on this new 'business', nor does the morgue's owner.",6.5,1982,USA,English
2519,House on Haunted Hill (1958),Horror,"A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",5.6,1999,USA,English
2520,Airport (1970),Drama,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",6.6,1970,USA,"English, Italian"
2521,Airport 1975 (1974),Drama,"A 747 in flight collides with a small plane, and is rendered pilotless. Somehow the control tower must get a pilot aboard so the jet can land.",5.5,1974,USA,English
2522,Airport '77 (1977),Drama,"Art thieves hijack a 747, hit fog and crash into the ocean, trapping them and the passengers under 100 feet of water.",5.6,1977,USA,"English, Hungarian"
2523,Rollercoaster (1977),Drama|Thriller,A blackmailer threatens to sabotage roller-coasters at various American amusement parks if he isn't paid a huge ransom.,6.2,1977,USA,English
2524,"Towering Inferno, The (1974)",Action|Drama,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",6.9,1974,USA,English
2525,Alligator (1980),Action|Horror|Sci-Fi,"A baby alligator is flushed down a Chicago toilet and survives by eating discarded laboratory rats injected with growth hormones. The small reptile grows gigantic, escapes the city sewers, and goes on a rampage.",5.9,1980,USA,English
2526,Meteor (1979),Sci-Fi,The USA must join forces with the USSR in order to destroy a gigantic asteroid heading straight for Earth.,4.9,1979,"USA, Hong Kong","English, Russian"
2527,Westworld (1973),Action|Sci-Fi|Thriller|Western,"A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.",7.0,1973,USA,English
2528,Logan's Run (1976),Action|Adventure|Sci-Fi,An idyllic sci-fi future has one major drawback: life must end at the age of 30.,6.8,1976,USA,English
2529,Planet of the Apes (1968),Action|Sci-Fi,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",8.0,1968,USA,English
2530,Beneath the Planet of the Apes (1970),Action|Sci-Fi,The sole survivor of an interplanetary rescue mission searches for the only survivor of the previous expedition. He discovers a planet ruled by apes and an underground city run by telepathic humans.,6.1,1970,USA,English
2531,Battle for the Planet of the Apes (1973),Action|Sci-Fi,"Ten years after conquering the Earth, ape leader Caesar wants the ruling apes and enslaved humans to live in peace. But warring factions of apes led by a militant gorilla general as well as various human groups threaten the stability.",5.5,1973,USA,English
2532,Conquest of the Planet of the Apes (1972),Action|Sci-Fi,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",6.1,1972,USA,English
2533,Escape from the Planet of the Apes (1971),Action|Sci-Fi,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",6.3,1971,USA,English
2534,Avalanche (1978),Action,The vacationers at a winter wonderland struggle to survive after an avalanche of snow crashes into their ski resort. Their holiday then turns into a game of survival.,4.3,1978,USA,English
2535,Earthquake (1974),Action,Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles.,5.8,1974,USA,English
2536,"Concorde: Airport '79, The (1979)",Drama,"American based Federation World Airlines has just acquired a Concorde jet, which will make its inaugural commercial flight from Washington D.C. to Paris and then to Moscow as a goodwill ...",4.3,1979,USA,"English, French, Spanish"
2537,Beyond the Poseidon Adventure (1979),Adventure,"Adventurers return to the overturned ship, seeking a fortune.",4.5,1979,USA,English
2538,Dancemaker (1998),Documentary,"A look at Paul Taylor (1930- ) and his dance company over several months in 1997. Preparation of Taylor's piece, ""Piazzolla Caldera,"" from conception and rehearsals to opening night at City...",7.3,1998,USA,English
2539,Analyze This (1999),Comedy,A comedy about a psychiatrist whose number one-patient is an insecure mob boss.,6.7,1999,USA,English
2540,"Corruptor, The (1999)",Action|Crime|Drama|Thriller,"With the aid from a NYC policeman, a top immigrant cop tries to stop drug-trafficking and corruption by immigrant Chinese Triads, but things complicate when the Triads try to bribe the policeman.",6.0,1999,USA,"English, Cantonese"
2541,Cruel Intentions (1999),Drama,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,6.9,1999,USA,"English, Vietnamese, French"
